Countries,code,CONTINENT,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total
Turkmenistan,NA,ASIA,1,1,11,12,32,55,28,0,35,544,663
Turks and Caicos Islands,UGA,CARIBBEAN ISLANDS,0,0,6,11,37,54,25,0,69,"1,179","1,327"
Tuvalu,UKR,OCEANIA,0,0,0,11,87,98,114,3,50,"1,010","1,275"
Uganda,ARE,AFRICA,0,0,48,32,76,156,59,0,125,"1,793","2,133"
Ukraine,GBR,ASIA,0,2,11,25,55,91,68,0,75,867,"1,103"
United Arab Emirates,USA,ASIA,0,0,8,18,38,64,59,0,55,984,"1,162"
United Kingdom,NA,EUROPE,0,2,11,18,57,86,59,0,81,965,"1,193"
United States,URY,NORTH AMERICA,4,241,214,284,562,"1,060",342,5,648,"5,453","7,749"
United States Minor Outlying Islands,UZB,OCEANIA,0,1,3,6,62,71,73,1,52,"1,139","1,337"
Uruguay,VUT,SOUTH AMERICA,0,2,10,20,58,88,51,0,75,921,"1,137"
Uzbekistan,VEN,ASIA,0,0,9,8,29,46,27,0,19,467,559
Vanuatu,VNM,OCEANIA,0,1,1,20,109,130,137,3,96,"1,656","2,023"
"Venezuela, Bolivarian Republic of",NA,SOUTH AMERICA,0,1,33,82,142,257,122,1,347,"3,521","4,249"
Viet Nam,NA,ASIA,0,1,65,132,267,464,255,2,643,"3,190","4,555"
